"cardid","readerid","expirationdate","daysleft"
15164,15164,"2020-01-01",-1818
5807,5807,"2020-01-01",-1818
14429,14429,"2020-01-01",-1818
3822,3822,"2020-01-01",-1818
15158,15158,"2020-01-02",-1817
26175,26175,"2020-01-02",-1817
8815,8815,"2020-01-02",-1817
6895,6895,"2020-01-03",-1816
19138,19138,"2020-01-03",-1816
22380,22380,"2020-01-04",-1815
19383,19383,"2020-01-04",-1815
20941,20941,"2020-01-04",-1815
175,175,"2020-01-04",-1815
16076,16076,"2020-01-04",-1815
28051,28051,"2020-01-04",-1815
6811,6811,"2020-01-04",-1815
14862,14862,"2020-01-05",-1814
14243,14243,"2020-01-05",-1814
6692,6692,"2020-01-05",-1814
312,312,"2020-01-05",-1814
8348,8348,"2020-01-06",-1813
25659,25659,"2020-01-06",-1813
5896,5896,"2020-01-07",-1812
1562,1562,"2020-01-07",-1812
28535,28535,"2020-01-07",-1812
12217,12217,"2020-01-07",-1812
3256,3256,"2020-01-07",-1812
15676,15676,"2020-01-08",-1811
21417,21417,"2020-01-08",-1811
9909,9909,"2020-01-08",-1811
8190,8190,"2020-01-08",-1811
11401,11401,"2020-01-08",-1811
11448,11448,"2020-01-08",-1811
8407,8407,"2020-01-08",-1811
28172,28172,"2020-01-08",-1811
23090,23090,"2020-01-08",-1811
13531,13531,"2020-01-08",-1811
19938,19938,"2020-01-09",-1810
24540,24540,"2020-01-09",-1810
2834,2834,"2020-01-09",-1810
8682,8682,"2020-01-10",-1809
32960,32960,"2020-01-10",-1809
8293,8293,"2020-01-10",-1809
23400,23400,"2020-01-10",-1809
6377,6377,"2020-01-10",-1809
746,746,"2020-01-11",-1808
2036,2036,"2020-01-11",-1808
11055,11055,"2020-01-11",-1808
18130,18130,"2020-01-11",-1808
4918,4918,"2020-01-11",-1808
5182,5182,"2020-01-11",-1808
18612,18612,"2020-01-12",-1807
13028,13028,"2020-01-12",-1807
3816,3816,"2020-01-12",-1807
33276,33276,"2020-01-12",-1807
23083,23083,"2020-01-12",-1807
8382,8382,"2020-01-13",-1806
1937,1937,"2020-01-13",-1806
22319,22319,"2020-01-13",-1806
24497,24497,"2020-01-13",-1806
2588,2588,"2020-01-13",-1806
7018,7018,"2020-01-14",-1805
22667,22667,"2020-01-14",-1805
27081,27081,"2020-01-14",-1805
18070,18070,"2020-01-14",-1805
11186,11186,"2020-01-15",-1804
9939,9939,"2020-01-15",-1804
12506,12506,"2020-01-15",-1804
8820,8820,"2020-01-15",-1804
23158,23158,"2020-01-16",-1803
246,246,"2020-01-16",-1803
27461,27461,"2020-01-16",-1803
17673,17673,"2020-01-16",-1803
514,514,"2020-01-16",-1803
18996,18996,"2020-01-17",-1802
658,658,"2020-01-17",-1802
25978,25978,"2020-01-17",-1802
32239,32239,"2020-01-17",-1802
24324,24324,"2020-01-18",-1801
19288,19288,"2020-01-18",-1801
16990,16990,"2020-01-18",-1801
12449,12449,"2020-01-18",-1801
20444,20444,"2020-01-18",-1801
13738,13738,"2020-01-18",-1801
28203,28203,"2020-01-18",-1801
29990,29990,"2020-01-18",-1801
16699,16699,"2020-01-18",-1801
30072,30072,"2020-01-19",-1800
20169,20169,"2020-01-19",-1800
24516,24516,"2020-01-19",-1800
24339,24339,"2020-01-20",-1799
8199,8199,"2020-01-20",-1799
23899,23899,"2020-01-21",-1798
1591,1591,"2020-01-21",-1798
