"loanid","readerid","bookid","loandate","duedate","daysoverdue"
53570,20997,72530,"2023-12-02","2023-12-30",359
55784,32807,88549,"2023-12-02","2023-12-30",359
53812,27890,10968,"2023-12-02","2023-12-30",359
59189,3631,11319,"2023-12-02","2023-12-30",359
51686,15050,12115,"2023-12-02","2023-12-30",359
55089,30704,15172,"2023-12-02","2023-12-30",359
56417,31978,91667,"2023-12-02","2023-12-30",359
52324,11503,29575,"2023-12-02","2023-12-30",359
59572,20188,58145,"2023-12-02","2023-12-30",359
52246,20296,35562,"2023-12-02","2023-12-30",359
50585,22175,52056,"2023-12-02","2023-12-30",359
50496,16792,93314,"2023-12-02","2023-12-30",359
54337,12706,12706,"2023-12-02","2023-12-30",359
53570,20997,72530,"2023-12-02","2023-12-30",359
54150,4293,38178,"2023-12-02","2023-12-30",359
52537,9369,36442,"2023-12-02","2023-12-30",359
56208,16199,57698,"2023-12-02","2023-12-30",359
55089,30704,15172,"2023-12-02","2023-12-30",359
50340,3646,60683,"2023-12-02","2023-12-30",359
53309,26572,17356,"2023-12-02","2023-12-30",359
58475,1221,60739,"2023-12-02","2023-12-30",359
58334,6784,59389,"2023-12-02","2023-12-30",359
54830,902,81992,"2023-12-02","2023-12-30",359
54026,12201,69800,"2023-12-02","2023-12-30",359
59572,20188,58145,"2023-12-02","2023-12-30",359
58475,1221,60739,"2023-12-02","2023-12-30",359
53626,29974,20758,"2023-12-02","2023-12-30",359
53626,29974,20758,"2023-12-02","2023-12-30",359
56436,18992,26912,"2023-12-02","2023-12-30",359
51842,28065,28380,"2023-12-02","2023-12-30",359
52644,15751,38220,"2023-12-02","2023-12-30",359
51841,21326,66945,"2023-12-02","2023-12-30",359
52203,21434,17902,"2023-12-02","2023-12-30",359
58649,19043,97321,"2023-12-02","2023-12-30",359
58650,19259,60278,"2023-12-02","2023-12-30",359
54475,24932,66136,"2023-12-02","2023-12-30",359
52290,12636,63310,"2023-12-02","2023-12-30",359
55784,32807,88549,"2023-12-02","2023-12-30",359
56208,16199,57698,"2023-12-02","2023-12-30",359
51432,29754,29116,"2023-12-02","2023-12-30",359
52324,11503,29575,"2023-12-02","2023-12-30",359
50496,16792,93314,"2023-12-02","2023-12-30",359
54125,25568,48555,"2023-12-02","2023-12-30",359
52290,12636,63310,"2023-12-02","2023-12-30",359
51842,28065,28380,"2023-12-02","2023-12-30",359
51686,15050,12115,"2023-12-02","2023-12-30",359
58650,19259,60278,"2023-12-02","2023-12-30",359
52537,9369,36442,"2023-12-02","2023-12-30",359
58885,23253,77290,"2023-12-02","2023-12-30",359
54026,12201,69800,"2023-12-02","2023-12-30",359
58649,19043,97321,"2023-12-02","2023-12-30",359
50585,22175,52056,"2023-12-02","2023-12-30",359
54830,902,81992,"2023-12-02","2023-12-30",359
54337,12706,12706,"2023-12-02","2023-12-30",359
51432,29754,29116,"2023-12-02","2023-12-30",359
53812,27890,10968,"2023-12-02","2023-12-30",359
59189,3631,11319,"2023-12-02","2023-12-30",359
52644,15751,38220,"2023-12-02","2023-12-30",359
58885,23253,77290,"2023-12-02","2023-12-30",359
54475,24932,66136,"2023-12-02","2023-12-30",359
52203,21434,17902,"2023-12-02","2023-12-30",359
54125,25568,48555,"2023-12-02","2023-12-30",359
56417,31978,91667,"2023-12-02","2023-12-30",359
50340,3646,60683,"2023-12-02","2023-12-30",359
58334,6784,59389,"2023-12-02","2023-12-30",359
53309,26572,17356,"2023-12-02","2023-12-30",359
56436,18992,26912,"2023-12-02","2023-12-30",359
54150,4293,38178,"2023-12-02","2023-12-30",359
51841,21326,66945,"2023-12-02","2023-12-30",359
58975,14089,53763,"2023-12-02","2023-12-30",359
52246,20296,35562,"2023-12-02","2023-12-30",359
58975,14089,53763,"2023-12-02","2023-12-30",359
58631,11861,51453,"2023-12-03","2023-12-31",358
52626,15185,15246,"2023-12-03","2023-12-31",358
55647,8264,35378,"2023-12-03","2023-12-31",358
55296,27507,59815,"2023-12-03","2023-12-31",358
51701,21801,12907,"2023-12-03","2023-12-31",358
52991,10323,60790,"2023-12-03","2023-12-31",358
57810,6335,67491,"2023-12-03","2023-12-31",358
