"notificationid","readerid","message","sentdate","isread","daysunseen"
12167,25626,"Your book is due in 1 week! Please return it on time.","2009-12-23",False,5479
12457,24926,"Your book is due in 1 week! Please return it on time.","2009-12-23",False,5479
33280,19925,"Your book is due in 1 week! Please return it on time.","2009-12-23",False,5479
592,10963,"Your book is due in 1 week! Please return it on time.","2009-12-23",False,5479
9196,14353,"Your book is due in 1 week! Please return it on time.","2009-12-23",False,5479
11622,5165,"Your book is due in 1 week! Please return it on time.","2009-12-24",False,5478
35946,26113,"Your book is due in 1 week! Please return it on time.","2009-12-24",False,5478
4098,8048,"Your book is due in 1 week! Please return it on time.","2009-12-24",False,5478
20401,18109,"Your book is due in 1 week! Please return it on time.","2009-12-25",False,5477
48228,17313,"Your book is due in 1 week! Please return it on time.","2009-12-25",False,5477
6739,18821,"Your book is due in 1 week! Please return it on time.","2009-12-25",False,5477
25564,17597,"Your book is due in 1 week! Please return it on time.","2009-12-26",False,5476
21954,5894,"Your book is due in 1 week! Please return it on time.","2009-12-26",False,5476
41495,17239,"Your book is due in 1 week! Please return it on time.","2009-12-26",False,5476
21403,4409,"Your book is due in 1 week! Please return it on time.","2009-12-26",False,5476
44435,16692,"Your book is due in 1 week! Please return it on time.","2009-12-26",False,5476
10983,129,"Your book is due in 1 week! Please return it on time.","2009-12-27",False,5475
10844,10136,"Your book is due in 1 week! Please return it on time.","2009-12-27",False,5475
42782,21036,"Your book is due in 1 week! Please return it on time.","2009-12-27",False,5475
3651,2826,"Your book is due in 1 week! Please return it on time.","2009-12-28",False,5474
31936,3730,"Your book is due in 1 week! Please return it on time.","2009-12-28",False,5474
27998,8139,"Your book is due in 1 week! Please return it on time.","2009-12-28",False,5474
16250,16570,"Your book is due in 1 week! Please return it on time.","2009-12-29",False,5473
1065,22406,"Your book is due in 1 week! Please return it on time.","2009-12-29",False,5473
35231,7215,"Your book is due in 1 week! Please return it on time.","2009-12-29",False,5473
17746,17652,"Your book is due in 1 week! Please return it on time.","2009-12-29",False,5473
20372,21137,"Your book is due in 1 week! Please return it on time.","2009-12-29",False,5473
77,10384,"Your book is due in 1 week! Please return it on time.","2009-12-30",False,5472
11203,872,"Your book is due in 1 week! Please return it on time.","2009-12-30",False,5472
41920,2051,"Your book is due in 1 week! Please return it on time.","2009-12-30",False,5472
7116,12492,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
28600,16633,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
24600,262,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
36115,13281,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
37534,13825,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
4794,6766,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
